"BR"	"CH"	"CL"	"DE"	"GR"	"HO"	"IW"	"LA"	"LT"	"MI"	"RC"	"SA"	"TR"	"TW"
"OTU87 "	0	0	1	0	0	0	0	0	0	0	0	0	0	1
"OTU88 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU89 "	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"OTU90 "	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"OTU91 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU92 "	0	0	0	4	0	0	0	0	2	0	0	0	1	0
"OTU93 "	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"OTU94 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU95 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU96 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU97 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU98 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU99 "	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU100 "	0	0	0	1	1	0	0	1	0	0	0	0	0	0
"OTU101 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU102 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU103 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU104 "	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"OTU105 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU106 "	0	0	0	0	1	0	0	0	1	0	0	0	1	0
"OTU107 "	0	0	0	0	0	13	2	0	0	0	5	3	0	0
"OTU108 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU109 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU110 "	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"OTU111 "	0	0	0	0	0	3	0	0	0	1	1	2	1	0
"OTU112 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU113 "	0	0	0	0	1	0	0	1	0	0	0	0	0	0
"OTU114 "	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"OTU115 "	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"OTU116 "	0	0	0	0	0	5	1	1	0	1	0	1	0	0
"OTU117 "	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"OTU118 "	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"OTU119 "	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"OTU120 "	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"OTU121 "	0	0	0	0	0	0	1	0	0	0	0	2	0	1
"OTU122 "	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"OTU123 "	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU124 "	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"OTU125 "	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU126 "	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"OTU127 "	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"OTU128 "	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"OTU129 "	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU130 "	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"OTU131 "	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU132 "	0	0	0	0	0	0	0	1	0	0	0	1	0	0
